fid,id,left,top,right,bottom,row_index,col_index,tree_height_mean,tree_height_min,tree_height_max,biketrail_distance_mean,biketrail_distance_max,carroad_mean,carroad_max,horse_mean,horse_max,hiking_distance_mean,hiking_distance_max
"8726","30351",320433.2125,5608091.8086,320533.2125,5607991.8086,"104","142",16.6241528320312,0,30.2599792480469,725.68168505249,781.918823242188,1249.57104064941,1318.9150390625,1780.93073234863,1844.33618164062,271.182423168945,338.498138427734
"8727","30352",320433.2125,5607991.8086,320533.2125,5607891.8086,"105","142",16.4899178833008,0,27.1700134277344,703.483269677734,762.315551757812,1315.19054187012,1384.82385253906,1875.46950219727,1938.24047851562,184.270002182007,251.435882568359
"8728","30353",320433.2125,5607891.8086,320533.2125,5607791.8086,"106","142",11.0707550079346,0,31.2000122070312,690.352701593018,743.589294433594,1384.75988811035,1454.52709960938,1970.45320837402,2032.72619628906,99.2578824821472,167.242340087891
"8729","30354",320433.2125,5607791.8086,320533.2125,5607691.8086,"107","142",12.4758829345703,0,38.2999877929688,667.642698999023,738.006103515625,1457.47719338379,1527.10473632812,2033.16334273682,2065.12817382812,29.2707626628518,89.8053436279297
"8730","30355",320433.2125,5607691.8086,320533.2125,5607591.8086,"108","142",18.9174780609131,0,27.6799926757812,603.961066436768,672.953186035156,1533.21223952637,1602.63818359375,1950.98792811279,2002.59851074219,53.7184094666481,121.82364654541
"8731","30356",320433.2125,5607591.8086,320533.2125,5607491.8086,"109","142",17.4980992919922,0,26.5199890136719,546.892088919067,614.586853027344,1611.59541312256,1680.72875976562,1851.068315625,1902.78771972656,134.405757862854,203.744934082031
"8732","30357",320433.2125,5607491.8086,320533.2125,5607391.8086,"110","142",7.46784602966309,0,27.7799987792969,500.292997537231,565.286682128906,1692.05422808838,1761.03637695312,1751.15788231201,1802.99780273438,217.789032241821,284.285064697266
"8733","30358",320433.2125,5607391.8086,320533.2125,5607291.8086,"111","142",14.6263380310059,0,25.760009765625,466.992977642822,528.100341796875,1732.29733845215,1784.02270507812,1651.25829387207,1703.23254394531,306.654076087952,371.679962158203
"8734","30359",320433.2125,5607291.8086,320533.2125,5607191.8086,"112","142",16.0451749908447,0,22.2899780273438,448.941341204834,504.048614501953,1727.39455012207,1778.64697265625,1551.37164486084,1603.49645996094,398.358564318848,463.496490478516
"8735","30360",320433.2125,5607191.8086,320533.2125,5607091.8086,"113","142",16.586174017334,0,24.2599792480469,444.520159249878,494.292419433594,1727.53927164307,1778.92663574219,1451.50060693359,1503.79553222656,482.812528015137,531.681274414062
"8736","30361",320433.2125,5607091.8086,320533.2125,5606991.8086,"114","142",17.457960949707,0,24.1100158691406,432.235130490112,494.259033203125,1733.46241072998,1787.45068359375,1351.64864136963,1404.13708496094,500.719327450562,553.564819335938
